iter	Logloss
0	0.6142418222
1	0.545317356
2	0.4921816762
3	0.4462317028
4	0.4126914746
5	0.3852126577
6	0.3610398472
7	0.3315314908
8	0.3120176885
9	0.2996346258
10	0.2860130178
11	0.2737944265
12	0.2646088921
13	0.2539507295
14	0.2450255862
15	0.2379204133
16	0.2333764612
17	0.2279447117
18	0.222829353
19	0.2156066334
20	0.2084956025
21	0.2045026032
22	0.200134035
23	0.195039278
24	0.1921047155
25	0.1887896981
26	0.184763988
27	0.1806973551
28	0.1778331962
29	0.1752315655
30	0.1716400848
31	0.1680872042
32	0.1658305571
33	0.1624939858
34	0.1598494274
35	0.1565073226
36	0.1542004933
37	0.1523381096
38	0.1505362323
39	0.1492720567
40	0.1470868536
41	0.1451018257
42	0.1428942292
43	0.1417808712
44	0.1402442813
45	0.1390401935
46	0.1375125875
47	0.1360151914
48	0.1340706135
49	0.1321710522
50	0.1312149218
51	0.1305136386
52	0.1284438669
53	0.1274939254
54	0.12624838
55	0.1247293647
56	0.1239680713
57	0.1229572162
58	0.1220643122
59	0.1210538087
60	0.1200755224
61	0.1190544389
62	0.1180479643
63	0.1170573367
64	0.1159436745
65	0.1142608743
66	0.1133374108
67	0.1121991613
68	0.1113502432
69	0.1106375541
70	0.1097025263
71	0.1089554226
72	0.1082400639
73	0.1070983387
74	0.1055561414
75	0.1049821879
76	0.1035589997
77	0.1027010709
78	0.1011284784
79	0.09963974113
80	0.09827069138
81	0.09732299594
82	0.09673834585
83	0.09625673219
84	0.09569298857
85	0.09442077899
86	0.09344576029
87	0.09276610291
88	0.09229394135
89	0.09159058704
90	0.09024404559
91	0.08956815647
92	0.08868258962
93	0.08821990047
94	0.08686737072
95	0.08628484932
96	0.08598973817
97	0.08527759481
98	0.08473944556
99	0.08371091062
100	0.08290820511
101	0.08251877052
102	0.08218640562
103	0.08158849145
104	0.0811092916
105	0.08017488261
106	0.07981162068
107	0.07937171155
108	0.07865936192
109	0.07801712798
110	0.07751026633
111	0.07725258549
112	0.07666700383
113	0.07501874952
114	0.07400540222
115	0.07363366485
116	0.07277078282
117	0.07231427327
118	0.07183293797
119	0.07138325361
120	0.07104512662
121	0.07083174177
122	0.07042564212
123	0.06998416493
124	0.06957976671
125	0.06921320865
126	0.06891910516
127	0.06839866676
128	0.06746864801
129	0.06711256957
130	0.06686028963
131	0.06648201971
132	0.06538517222
133	0.06470384931
134	0.06413831564
135	0.0636438594
136	0.06338395467
137	0.06297979853
138	0.06249736463
139	0.06216294204
140	0.0615689286
141	0.06110518195
142	0.06063699356
143	0.06011841198
144	0.05958849287
145	0.05907830829
146	0.05855005787
147	0.05807089531
148	0.05781521471
149	0.05738967478
150	0.05700252107
151	0.0567894001
152	0.05643688596
153	0.05581846714
154	0.05486010871
155	0.05451748658
156	0.05429383409
157	0.05400810852
158	0.05364047676
159	0.05342033513
160	0.0531020907
161	0.05291956079
162	0.05261767206
163	0.05246567314
164	0.05213215397
165	0.05198279029
166	0.05180443527
167	0.05142899179
168	0.05108383706
169	0.05053967424
170	0.05010414002
171	0.04966499676
172	0.04941715777
173	0.04903972624
174	0.04847116151
175	0.04810007581
176	0.04781937844
177	0.04754120378
178	0.04724241369
179	0.04706684951
180	0.0469447893
181	0.04657262865
182	0.04621236197
183	0.04597097703
184	0.04562354105
185	0.04541934492
186	0.04520095941
187	0.04504548373
188	0.04449720051
189	0.04432970933
190	0.04406058457
191	0.04370341063
192	0.04335938394
193	0.04299212417
194	0.042668717
195	0.04243412639
196	0.04214161368
197	0.0419322943
198	0.04176563329
199	0.04154083149
200	0.04083318637
201	0.04068918065
202	0.04053546607
203	0.04046530824
204	0.04021814903
205	0.03991965643
206	0.03980020795
207	0.03956143037
208	0.03944517734
209	0.03933154197
210	0.0391584104
211	0.03863121252
212	0.03838250446
213	0.03797291228
214	0.0379076675
215	0.03755775544
216	0.03723316484
217	0.03699543532
218	0.03684091892
219	0.03650408518
220	0.03636372234
221	0.03626841397
222	0.03610971127
223	0.03600075724
224	0.03590770707
225	0.03582327034
226	0.03556713957
227	0.0352698844
228	0.03506594655
229	0.03491522087
230	0.03470477697
231	0.03450405434
232	0.03437597988
233	0.0341459282
234	0.03390112674
235	0.03373476894
236	0.03352387119
237	0.03343718938
238	0.03325394965
239	0.03306304485
240	0.03300419311
241	0.03280713764
242	0.03221536554
243	0.03202401708
244	0.03187451179
245	0.03174193009
246	0.03149430825
247	0.03129409636
248	0.03111951321
249	0.0308927546
250	0.03078965307
251	0.0306961315
252	0.03052078855
253	0.03042361159
254	0.03026151031
255	0.03016840781
256	0.02995504915
257	0.02977412148
258	0.02967928644
259	0.02938358667
260	0.02931747809
261	0.02927321743
262	0.02906658771
263	0.02892754724
264	0.02879601144
265	0.02859370557
266	0.02845385126
267	0.02825248865
268	0.02807354216
269	0.02790037667
270	0.02761162638
271	0.02745480545
272	0.02737850895
273	0.0271402205
274	0.02699962061
275	0.02686876251
276	0.02679549998
277	0.02670276502
278	0.02661994094
279	0.026458208
280	0.02629610461
281	0.02621347547
282	0.02611236267
283	0.02599005156
284	0.02588799913
285	0.02579288715
286	0.02567228153
287	0.02559698894
288	0.02553295136
289	0.02541650436
290	0.02533777097
291	0.02517962086
292	0.0249888626
293	0.0248035269
294	0.02470451763
295	0.02450406315
296	0.0243988616
297	0.02431755288
298	0.02425251193
299	0.02410906356
300	0.02390973223
301	0.02375755198
302	0.02371600579
303	0.02359383778
304	0.02347524418
305	0.02338274833
306	0.02332153
307	0.02323878381
308	0.02313030807
309	0.0229763897
310	0.02294099893
311	0.02286535827
312	0.0228187986
313	0.02278458541
314	0.02262251526
315	0.02256568583
316	0.02247639078
317	0.02240449405
318	0.02229315685
319	0.02221868869
320	0.02217368663
321	0.02209476005
322	0.02199614558
323	0.02190073538
324	0.02181818926
325	0.02178773803
326	0.02171843709
327	0.02168506022
328	0.02152758559
329	0.02108992572
330	0.02091842149
331	0.02083019996
332	0.0206681835
333	0.02061080953
334	0.02052252208
335	0.0204774251
336	0.02034471172
337	0.02023466815
338	0.02017262822
339	0.02007337739
340	0.01990156925
341	0.01980881147
342	0.01972541916
343	0.01964783098
344	0.01950671131
345	0.01939904792
346	0.01929444996
347	0.0192048031
348	0.01903794381
349	0.01896102227
350	0.01889924009
351	0.01884337614
352	0.01873016567
353	0.01868013911
354	0.01836563577
355	0.01831597228
356	0.01822053651
357	0.01819609263
358	0.01806680963
359	0.0180347934
360	0.01799319135
361	0.0179247371
362	0.01789553294
363	0.01780986771
364	0.01774147603
365	0.01760748861
366	0.01752066146
367	0.01743817863
368	0.01733563053
369	0.01728272927
370	0.01723335614
371	0.01719426161
372	0.01709872988
373	0.0170071797
374	0.01694489959
375	0.0168896701
376	0.01679356913
377	0.01675577388
378	0.01670738364
379	0.01667203705
380	0.01648223352
381	0.0164343366
382	0.01641387363
383	0.01637183652
384	0.01629290256
385	0.01624228558
386	0.01615758523
387	0.01608771384
388	0.01602184199
389	0.01591873909
390	0.01585760176
391	0.01573946864
392	0.01566960705
393	0.0156113567
394	0.0155608793
395	0.01549300101
396	0.01543608428
397	0.01533339563
398	0.01527023652
399	0.01521963057
400	0.01516522164
401	0.01512290613
402	0.01503980528
403	0.01500316552
404	0.01495336111
405	0.01492088114
406	0.01485324751
407	0.0148248664
408	0.01476415334
409	0.01471420126
410	0.01464060179
411	0.0146183717
412	0.0145751869
413	0.01453545725
414	0.01447252551
415	0.01439898437
416	0.01431551832
417	0.0142751004
418	0.01425336842
419	0.01418804829
420	0.01414774084
421	0.01411460276
422	0.01408340562
423	0.01398876721
424	0.01395192993
425	0.01388455884
426	0.01383427608
427	0.01376111953
428	0.01371407726
429	0.01365520899
430	0.01355992855
431	0.01349131535
432	0.01346338585
433	0.01342895975
434	0.01337984224
435	0.0133171397
436	0.01320975681
437	0.01319617003
438	0.01318482394
439	0.01312970244
440	0.01305617659
441	0.01298154042
442	0.01295805766
443	0.0129255259
444	0.01286102091
445	0.01280618111
446	0.01265697397
447	0.01258208827
448	0.01253875278
449	0.01248524423
